

测试,#genre#

1A1,http://114.242.62.109:888/hls/1/index.m3u8
1A2,http://114.242.62.109:888/hls/2/index.m3u8
1A3,http://114.242.62.109:888/hls/3/index.m3u8
1A4,http://114.242.62.109:888/hls/4/index.m3u8
1A5,http://114.242.62.109:888/hls/5/index.m3u8
1A6,http://114.242.62.109:888/hls/6/index.m3u8
1A7,http://114.242.62.109:888/hls/7/index.m3u8
1A8,http://114.242.62.109:888/hls/8/index.m3u8
1A9,http://114.242.62.109:888/hls/9/index.m3u8
1A10,http://114.242.62.109:888/hls/10/index.m3u8
1A11,http://114.242.62.109:888/hls/11/index.m3u8
1A12,http://114.242.62.109:888/hls/12/index.m3u8
1A13,http://114.242.62.109:888/hls/13/index.m3u8
1A14,http://114.242.62.109:888/hls/14/index.m3u8
1A15,http://114.242.62.109:888/hls/15/index.m3u8
1A16,http://114.242.62.109:888/hls/16/index.m3u8
1A17,http://114.242.62.109:888/hls/17/index.m3u8
1A18,http://114.242.62.109:888/hls/18/index.m3u8
1A19,http://114.242.62.109:888/hls/19/index.m3u8
1A20,http://114.242.62.109:888/hls/20/index.m3u8
1A21,http://114.242.62.109:888/hls/21/index.m3u8
1A22,http://114.242.62.109:888/hls/22/index.m3u8
1A23,http://114.242.62.109:888/hls/23/index.m3u8
1A24,http://114.242.62.109:888/hls/24/index.m3u8
1A25,http://114.242.62.109:888/hls/25/index.m3u8
1A26,http://114.242.62.109:888/hls/26/index.m3u8
1A27,http://114.242.62.109:888/hls/27/index.m3u8
1A28,http://114.242.62.109:888/hls/28/index.m3u8
1A29,http://114.242.62.109:888/hls/29/index.m3u8
1A30,http://114.242.62.109:888/hls/30/index.m3u8
1A31,http://114.242.62.109:888/hls/31/index.m3u8
1A32,http://114.242.62.109:888/hls/32/index.m3u8
1A33,http://114.242.62.109:888/hls/33/index.m3u8
1A34,http://114.242.62.109:888/hls/34/index.m3u8
1A35,http://114.242.62.109:888/hls/35/index.m3u8
1A36,http://114.242.62.109:888/hls/36/index.m3u8
1A37,http://114.242.62.109:888/hls/37/index.m3u8
1A38,http://114.242.62.109:888/hls/38/index.m3u8
1A39,http://114.242.62.109:888/hls/39/index.m3u8
1A40,http://114.242.62.109:888/hls/40/index.m3u8
1A41,http://114.242.62.109:888/hls/41/index.m3u8
1A42,http://114.242.62.109:888/hls/42/index.m3u8
1A43,http://114.242.62.109:888/hls/43/index.m3u8
1A44,http://114.242.62.109:888/hls/44/index.m3u8
1A45,http://114.242.62.109:888/hls/45/index.m3u8
1A46,http://114.242.62.109:888/hls/46/index.m3u8
1A47,http://114.242.62.109:888/hls/47/index.m3u8
1A48,http://114.242.62.109:888/hls/48/index.m3u8
1A49,http://114.242.62.109:888/hls/49/index.m3u8
1A50,http://114.242.62.109:888/hls/50/index.m3u8
1A51,http://114.242.62.109:888/hls/51/index.m3u8
1A52,http://114.242.62.109:888/hls/52/index.m3u8
1A53,http://114.242.62.109:888/hls/53/index.m3u8
1A54,http://114.242.62.109:888/hls/54/index.m3u8
